File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::at_last(),12,10,4,3,1,2,1,10,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::cycled_list(),10,8,4,3,2,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::length(),9,8,4,3,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::sort( ,10,9,5,2,1,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\elst2.h,ELIST2_ITERATOR::add_to_end( ,29,28,17,6,1,1,0,3,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\genericvector.h,"cmp_eq(T const & t1, T const & t2)",2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\genericvector.h,"sort_cmp(const void* t1, const void* t2)",10,10,9,4,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\genericvector.h,"sort_ptr_cmp(const void* t1, const void* t2)",10,10,9,4,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\genericvector.h,GenericVector<T>::init(int size),7,7,7,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\genericvector.h,GenericVector<T>::~GenericVector(),2,2,2,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\genericvector.h,GenericVector<T>::reserve(int size),9,9,7,3,0,0,0,0,
